Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Beta
44,1,3,1,6,0
45,0,1,1,6,0
1,2,2,0,7,0
2,2,3,0,7,0
3,1,1,0,7,0
4,1,2,1,7,0
5,1,4,1,7,0
6,0,1,1,7,0
7,2,4,0,7,0
8,2,4,0,7,0
9,0,2,1,7,0
10,0,3,1,7,0
11,2,1,0,7,0
12,0,2,1,7,0
13,0,1,1,7,0
14,2,2,0,7,0
15,1,4,0,7,0
16,1,3,1,7,0
17,1,1,1,7,0
18,2,4,0,7,0
19,2,4,0,7,0
20,1,3,1,7,0
21,2,2,0,7,0
22,0,3,1,7,0
23,0,2,1,7,0
24,2,4,0,7,0
25,2,1,0,7,0
26,2,2,1,7,0
27,2,3,0,7,0
28,0,2,1,7,0
29,1,3,0,7,0
30,1,2,0,7,0
31,1,3,1,7,0
32,2,3,0,7,0
33,0,4,1,7,0
34,0,2,1,7,0
35,0,4,1,7,0
36,1,1,1,7,0
37,2,1,0,7,0
38,0,1,1,7,0
39,0,2,1,7,0
40,0,1,1,7,0
41,1,1,1,7,0
42,0,2,1,7,0
43,1,1,0,7,0
44,1,1,1,7,0
45,1,4,0,7,0
1,1,3,1,8,0
2,0,4,0,8,0
3,2,3,0,8,0
4,1,3,1,8,0
5,2,1,0,8,0
6,1,1,1,8,0
7,2,3,0,8,0
8,2,1,0,8,0
9,1,4,1,8,0
10,1,3,0,8,0
11,1,3,1,8,0
12,1,4,1,8,0
13,0,4,1,8,0
14,2,3,0,8,0
15,1,1,1,8,0
16,1,4,0,8,0
17,2,4,0,8,0
18,2,1,0,8,0
19,0,2,1,8,0
20,2,4,0,8,0
21,1,4,0,8,0
22,0,3,1,8,0
23,1,3,0,8,0
24,0,3,1,8,0
25,2,3,1,8,0
26,1,3,1,8,0
27,2,1,0,8,0
28,1,1,1,8,0
29,2,4,0,8,0
30,0,3,1,8,0
31,2,2,0,8,0
32,0,4,0,8,0
33,0,1,1,8,0
34,1,2,0,8,0
35,0,3,1,8,0
36,2,1,0,8,0
37,0,1,1,8,0
38,2,2,0,8,0
39,0,2,1,8,0
40,2,4,1,8,0
41,0,4,1,8,0
42,0,1,1,8,0
43,1,3,1,8,0
44,0,2,1,8,0
45,0,4,1,8,0
1,1,1,1,9,0
2,1,1,0,9,0
3,1,1,0,9,0
4,0,2,1,9,0
5,2,4,0,9,0
6,0,4,1,9,0
7,1,3,0,9,0
8,1,2,1,9,0
9,2,4,0,9,0
10,1,4,1,9,0
11,2,3,0,9,0
12,2,4,0,9,0
13,2,4,0,9,0
14,2,3,0,9,0
15,1,2,1,9,0
16,0,4,1,9,0
17,0,1,1,9,0
18,0,2,0,9,0
19,2,3,0,9,0
20,0,4,1,9,0
21,2,1,0,9,0
22,0,4,1,9,0
23,1,4,1,9,0
24,0,1,1,9,0
25,1,1,1,9,0
26,2,2,0,9,0
27,0,2,1,9,0
28,0,3,1,9,0
29,1,3,1,9,0
30,0,3,1,9,0
31,1,2,1,9,0
32,2,2,0,9,0
33,1,4,0,9,0
34,1,1,0,9,0
35,0,1,0,9,0
36,0,1,1,9,0
37,0,1,1,9,0
38,2,1,0,9,0
39,2,3,0,9,0
40,1,3,1,9,0
41,2,3,0,9,0
42,0,1,1,9,0
43,2,4,0,9,0
44,2,3,0,9,0
45,1,2,1,9,0
1,0,4,1,10,0
2,2,2,0,10,0
3,0,3,1,10,0
4,2,3,0,10,0
5,0,2,1,10,0
6,0,1,1,10,0
7,1,4,0,10,0
8,1,4,1,10,0
9,0,1,1,10,0
10,0,1,1,10,0
11,2,4,0,10,0
12,2,1,1,10,0
13,1,4,0,10,0
14,1,1,0,10,0
15,0,1,1,10,0
16,2,4,0,10,0
17,1,3,1,10,0
18,1,1,1,10,0
19,1,4,0,10,0
20,2,4,0,10,0
21,0,4,1,10,0
22,2,1,0,10,0
23,0,4,1,10,0
24,0,4,1,10,0
25,1,4,1,10,0
26,0,4,1,10,0
27,2,2,0,10,0
28,2,1,0,10,0
29,1,4,1,10,0
30,2,3,0,10,0
31,1,2,1,10,0
32,2,4,0,10,0
33,1,1,0,10,0
34,0,1,1,10,0
35,1,3,1,10,0
36,1,1,1,10,0
37,1,4,1,10,0
38,2,4,0,10,0
39,0,1,1,10,0
40,2,1,0,10,0
41,2,2,0,10,0
42,0,1,1,10,0
43,1,2,0,10,0
44,2,1,0,10,0
45,0,3,1,10,0
1,1,4,0,11,0
2,1,1,1,11,0
3,1,4,1,11,0
4,1,4,1,11,0
5,1,1,1,11,0
6,0,4,1,11,0
7,1,2,0,11,0
8,2,1,0,11,0
9,1,2,1,11,0
10,2,4,0,11,0
11,2,4,0,11,0
12,2,4,1,11,0
13,0,4,1,11,0
14,1,3,0,11,0
15,1,3,1,11,0
16,0,3,1,11,0
17,2,4,0,11,0
18,0,4,1,11,0
19,1,3,1,11,0
20,1,1,1,11,0
21,0,1,1,11,0
22,1,1,1,11,0
23,1,4,0,11,0
24,0,3,1,11,0
25,2,4,0,11,0
26,2,1,0,11,0
27,2,1,0,11,0
28,2,2,0,11,0
29,2,4,0,11,0
30,0,3,1,11,0
31,0,4,1,11,0
32,0,4,1,11,0
33,0,1,1,11,0
34,2,2,1,11,0
35,1,3,0,11,0
36,0,1,1,11,0
37,0,4,1,11,0
38,1,2,0,11,0
39,2,3,0,11,0
40,0,2,1,11,0
41,2,3,0,11,0
42,2,4,0,11,0
43,2,4,1,11,0
44,0,2,1,11,0
45,0,1,1,11,0
1,2,3,0,12,0
2,0,1,1,12,0
3,2,2,1,12,0
4,0,2,1,12,0
5,0,2,1,12,0
6,1,2,1,12,0
7,0,2,1,12,0
8,0,3,1,12,0
9,0,3,1,12,0
10,1,2,1,12,0
11,2,1,0,12,0
12,1,4,1,12,0
13,2,2,0,12,0
14,1,1,1,12,0
15,2,2,0,12,0
16,1,3,1,12,0
17,0,1,1,12,0
18,1,4,1,12,0
19,0,3,1,12,0
20,1,2,1,12,0
21,1,4,1,12,0
22,1,1,0,12,0
23,1,2,1,12,0
24,1,2,0,12,0
25,1,2,0,12,0
26,0,3,1,12,0
27,1,4,1,12,0
28,2,3,0,12,0
29,2,3,0,12,0
30,2,1,0,12,0
31,2,2,0,12,0
32,2,2,0,12,0
33,2,3,0,12,0
34,0,3,1,12,0
35,1,1,0,12,0
36,2,1,0,12,0
37,2,1,0,12,0
38,2,3,0,12,0
39,0,2,1,12,0
40,2,1,0,12,0
41,0,4,1,12,0
42,1,3,0,12,0
43,0,1,1,12,0
44,0,1,1,12,0
45,0,4,1,12,0
1,1,4,1,13,0
2,1,1,1,13,0
3,2,3,0,13,0
4,0,4,1,13,0
5,1,4,0,13,0
6,0,2,1,13,0
7,2,2,0,13,0
8,1,3,1,13,0
9,2,1,0,13,0
10,2,3,0,13,0
11,1,1,0,13,0
12,2,4,0,13,0
13,0,3,1,13,0
14,0,2,1,13,0
15,1,3,1,13,0
16,2,4,0,13,0
17,0,1,1,13,0
18,2,3,0,13,0
19,2,2,0,13,0
20,2,4,0,13,0
21,1,4,0,13,0
22,2,3,0,13,0
23,1,4,1,13,0
24,1,1,0,13,0
25,0,2,1,13,0
26,0,1,1,13,0
27,0,1,1,13,0
28,2,4,0,13,0
29,1,1,1,13,0
30,1,4,0,13,0
31,1,3,1,13,0
32,2,3,0,13,0
33,0,2,1,13,0
34,0,3,1,13,0
35,2,2,0,13,0
36,1,4,1,13,0
37,0,1,1,13,0
38,0,4,1,13,0
39,1,4,1,13,0
40,0,1,1,13,0
41,0,2,1,13,0
42,2,1,0,13,0
43,1,1,0,13,0
44,0,2,0,13,0
45,2,2,0,13,0
1,2,3,0,14,0
2,2,1,0,14,0
3,1,2,0,14,0
4,1,3,0,14,0
5,1,1,1,14,0
6,2,3,0,14,0
7,2,4,0,14,0
8,0,2,1,14,0
9,0,2,1,14,0
10,0,1,1,14,0
11,2,4,0,14,0
12,2,3,0,14,0
13,2,3,1,14,0
14,0,2,1,14,0
15,0,2,1,14,0
16,2,2,0,14,0
17,1,4,0,14,0
18,0,2,1,14,0
19,0,4,1,14,0
20,2,4,0,14,0
21,1,4,1,14,0
22,1,3,0,14,0
23,0,2,1,14,0
24,1,3,0,14,0
25,0,3,1,14,0
26,0,4,1,14,0
27,0,2,1,14,0
28,1,4,1,14,0
29,2,2,0,14,0
30,1,3,0,14,0
31,2,2,0,14,0
32,1,4,1,14,0
33,1,2,1,14,0
34,2,1,0,14,0
35,2,3,0,14,0
36,0,1,1,14,0
37,0,2,1,14,0
38,0,2,0,14,0
39,1,4,0,14,0
40,1,3,1,14,0
41,1,2,1,14,0
42,0,2,1,14,0
43,2,4,0,14,0
44,1,2,0,14,0
45,2,3,0,14,0
1,2,2,0,15,0
2,0,4,0,15,0
3,0,1,1,15,0
4,0,2,1,15,0
5,1,4,1,15,0
6,1,4,1,15,0
7,0,4,1,15,0
8,1,3,0,15,0
9,1,4,1,15,0
10,1,1,0,15,0
11,2,1,0,15,0
12,1,3,1,15,0
13,2,3,0,15,0
14,2,3,0,15,0
15,2,2,0,15,0
16,2,2,0,15,0
17,1,2,0,15,0
18,1,3,1,15,0
19,0,1,1,15,0
20,2,2,0,15,0
21,2,3,0,15,0
22,0,3,1,15,0
23,2,4,0,15,0
24,1,2,1,15,0
25,2,3,0,15,0
26,0,1,1,15,0
27,0,2,1,15,0
28,2,2,0,15,0
29,0,1,1,15,0
30,0,3,1,15,0
31,1,2,0,15,0
32,1,1,1,15,0
33,1,3,1,15,0
34,1,4,1,15,0
35,2,2,0,15,0
36,2,3,0,15,0
37,1,3,0,15,0
38,0,3,1,15,0
39,2,2,0,15,0
40,1,3,1,15,0
41,0,4,1,15,0
42,0,4,1,15,0
43,0,3,1,15,0
44,2,4,0,15,0
45,0,3,1,15,0
1,1,4,1,16,0
2,2,3,0,16,0
3,2,1,0,16,0
4,0,2,1,16,0
5,2,3,0,16,0
6,2,1,0,16,0
7,0,3,1,16,0
8,0,1,1,16,0
9,0,4,1,16,0
10,0,1,0,16,0
11,2,1,1,16,0
12,1,2,1,16,0
13,1,3,1,16,0
14,1,4,1,16,0
15,0,3,1,16,0
16,1,2,0,16,0
17,0,2,1,16,0
18,2,1,0,16,0
19,0,2,1,16,0
20,2,3,0,16,0
21,1,1,1,16,0
22,1,4,0,16,0
23,0,3,1,16,0
24,1,3,1,16,0
25,2,4,0,16,0
26,2,2,0,16,0
27,1,3,1,16,0
28,1,2,1,16,0
29,2,1,0,16,0
30,2,2,0,16,0
31,1,3,1,16,0
32,0,3,1,16,0
33,0,2,1,16,0
34,2,4,0,16,0
35,2,4,0,16,0
36,1,2,1,16,0
37,2,3,0,16,0
38,0,3,1,16,0
39,1,3,0,16,0
40,0,2,1,16,0
41,2,1,0,16,0
42,1,4,1,16,0
43,1,3,1,16,0
44,0,3,1,16,0
45,0,1,1,16,0
1,2,4,0,17,0
2,2,2,0,17,0
3,1,4,1,17,0
4,1,1,0,17,0
5,0,4,1,17,0
6,1,2,0,17,0
7,1,3,1,17,0
8,0,1,1,17,0
9,2,1,0,17,0
10,0,1,1,17,0
11,2,4,0,17,0
12,2,3,0,17,0
13,2,2,0,17,0
14,1,1,1,17,0
15,2,1,0,17,0
16,1,1,0,17,0
17,0,2,0,17,0
18,2,3,0,17,0
19,0,3,1,17,0
20,0,4,1,17,0
21,2,3,0,17,0
22,1,4,1,17,0
23,1,1,1,17,0
24,1,3,1,17,0
25,1,2,1,17,0
26,1,1,0,17,0
27,1,4,0,17,0
28,2,4,0,17,0
29,0,2,0,17,0
30,1,4,1,17,0
31,2,2,0,17,0
32,0,3,1,17,0
33,0,4,1,17,0
34,0,4,1,17,0
35,2,1,0,17,0
36,0,1,1,17,0
37,2,1,0,17,0
38,2,4,0,17,0
39,0,4,1,17,0
40,0,3,0,17,0
41,1,4,0,17,0
42,2,2,0,17,0
43,0,3,1,17,0
44,1,1,1,17,0
45,0,1,1,17,0
1,2,3,0,18,0
2,1,2,1,18,0
3,0,4,1,18,0
4,2,1,0,18,0
5,0,2,1,18,0
6,1,1,1,18,0
7,2,2,0,18,0
8,0,4,1,18,0
9,1,4,0,18,0
10,0,1,1,18,0
11,1,2,1,18,0
12,0,2,1,18,0
13,1,1,0,18,0
14,0,1,1,18,0
15,2,3,0,18,0
16,0,4,1,18,0
17,1,2,1,18,0
18,0,4,1,18,0
19,1,1,1,18,0
20,2,2,0,18,0
21,1,3,1,18,0
22,2,2,0,18,0
23,1,1,1,18,0
24,0,4,1,18,0
25,0,4,1,18,0
26,1,1,1,18,0
27,0,4,1,18,0
28,0,3,1,18,0
29,1,1,1,18,0
30,2,3,0,18,0
31,0,3,1,18,0
32,0,3,1,18,0
33,0,1,1,18,0
34,2,1,0,18,0
35,1,4,0,18,0
36,1,2,1,18,0
37,2,1,0,18,0
38,2,4,0,18,0
39,2,1,0,18,0
40,2,1,0,18,0
41,2,1,0,18,0
42,1,3,1,18,0
43,2,1,0,18,0
44,2,3,0,18,0
45,1,4,1,18,0
1,0,1,1,19,0
2,2,4,0,19,0
3,1,4,0,19,0
4,1,1,1,19,0
5,1,2,1,19,0
6,0,2,1,19,0
7,2,3,1,19,0
8,1,4,1,19,0
9,1,3,0,19,0
10,0,3,1,19,0
11,1,3,1,19,0
12,2,4,0,19,0
13,1,2,1,19,0
14,2,1,0,19,0
15,2,3,0,19,0
16,1,1,0,19,0
17,0,4,1,19,0
18,2,2,0,19,0
19,1,1,1,19,0
20,0,4,1,19,0
21,2,2,0,19,0
22,2,2,0,19,0
23,0,2,1,19,0
24,1,3,1,19,0
25,0,1,1,19,0
26,2,4,0,19,0
27,0,1,1,19,0
28,1,2,1,19,0
29,0,2,1,19,0
30,1,1,0,19,0
31,0,3,1,19,0
32,2,3,0,19,0
33,2,3,0,19,0
34,1,2,1,19,0
35,2,4,0,19,0
36,2,3,0,19,0
37,1,1,1,19,0
38,0,2,1,19,0
39,2,1,0,19,0
40,1,4,0,19,0
41,0,3,1,19,0
42,0,4,1,19,0
43,0,3,1,19,0
44,2,1,0,19,0
45,0,2,1,19,0
1,0,3,1,20,0
2,0,3,1,20,0
3,0,1,1,20,0
4,1,2,1,20,0
5,2,3,0,20,0
6,1,1,1,20,0
7,1,4,1,20,0
8,2,1,0,20,0
9,1,3,1,20,0
10,1,3,1,20,0
11,2,2,0,20,0
12,0,3,1,20,0
13,0,1,1,20,0
14,1,3,0,20,0
15,1,4,0,20,0
16,1,2,1,20,0
17,2,2,0,20,0
18,2,4,0,20,0
19,2,4,0,20,0
20,0,3,1,20,0
21,2,2,0,20,0
22,0,3,1,20,0
23,0,1,1,20,0
24,2,3,0,20,0
25,1,3,1,20,0
26,2,4,0,20,0
27,2,2,0,20,0
28,0,4,1,20,0
29,0,2,1,20,0
30,0,1,1,20,0
31,0,2,1,20,0
32,1,2,0,20,0
33,1,2,0,20,0
34,2,1,0,20,0
35,2,1,0,20,0
36,1,2,1,20,0
37,1,1,1,20,0
38,0,2,1,20,0
39,0,1,1,20,0
40,2,3,0,20,0
41,1,1,0,20,0
42,1,4,0,20,0
43,2,4,0,20,0
44,2,4,0,20,0
45,0,1,0,20,0
1,0,2,1,21,0
2,0,2,0,21,0
3,0,2,1,21,0
4,2,4,0,21,0
5,0,2,1,21,0
6,1,2,0,21,0
7,2,3,0,21,0
8,0,4,1,21,0
9,0,1,1,21,0
10,0,3,1,21,0
11,1,1,1,21,0
12,2,1,0,21,0
13,2,1,0,21,0
14,0,4,1,21,0
15,0,2,1,21,0
16,1,3,1,21,0
17,2,1,0,21,0
18,1,1,1,21,0
19,2,1,0,21,0
20,1,2,1,21,0
21,1,2,0,21,0
22,0,1,1,21,0
23,1,4,1,21,0
24,1,2,1,21,0
25,2,4,0,21,0
26,2,4,0,21,0
27,1,1,0,21,0
28,0,4,1,21,0
29,1,2,1,21,0
30,2,3,0,21,0
31,2,4,0,21,0
32,1,4,0,21,0
33,0,2,1,21,0
34,1,2,1,21,0
35,1,4,0,21,0
36,2,2,0,21,0
37,0,4,1,21,0
38,0,1,1,21,0
39,1,2,0,21,0
40,1,1,0,21,0
41,0,2,1,21,0
42,2,1,1,21,0
43,2,2,0,21,0
44,2,3,0,21,0
45,2,2,0,21,0
1,0,3,1,22,0
2,1,1,1,22,0
3,0,1,1,22,0
4,2,4,0,22,0
5,1,1,1,22,0
6,1,4,1,22,0
7,1,2,1,22,0
8,0,3,1,22,0
9,2,1,0,22,0
10,0,4,1,22,0
11,1,3,0,22,0
12,2,4,0,22,0
13,0,2,0,22,0
14,2,3,0,22,0
15,1,3,1,22,0
16,1,4,1,22,0
17,0,2,1,22,0
18,2,2,0,22,0
19,0,2,1,22,0
20,0,2,1,22,0
21,2,2,0,22,0
22,0,2,1,22,0
23,2,3,0,22,0
24,0,1,1,22,0
25,0,1,1,22,0
26,1,2,0,22,0
27,2,1,1,22,0
28,2,2,0,22,0
29,0,4,1,22,0
30,2,3,0,22,0
31,1,2,0,22,0
32,1,3,1,22,0
33,0,4,0,22,0
34,1,4,0,22,0
35,2,4,0,22,0
36,2,3,0,22,0
37,2,2,0,22,0
38,1,1,1,22,0
39,2,4,0,22,0
40,2,1,0,22,0
41,0,2,1,22,0
42,1,1,0,22,0
43,1,1,1,22,0
44,1,3,1,22,0
45,0,4,1,22,0
1,2,1,0,23,0
2,1,4,1,23,0
3,2,4,0,23,0
4,0,3,1,23,0
5,2,1,0,23,0
6,2,2,0,23,0
7,0,4,1,23,0
8,0,1,0,23,0
9,0,4,1,23,0
10,0,2,1,23,0
11,2,2,0,23,0
12,0,1,1,23,0
13,2,1,0,23,0
14,2,1,0,23,0
15,1,4,1,23,0
16,0,4,1,23,0
17,2,3,0,23,0
18,0,3,1,23,0
19,2,4,0,23,0
20,1,3,1,23,0
21,1,3,1,23,0
22,0,2,1,23,0
23,0,2,1,23,0
24,0,3,1,23,0
25,2,4,0,23,0
26,0,4,1,23,0
27,1,1,1,23,0
28,0,2,1,23,0
29,1,1,1,23,0
30,1,3,1,23,0
31,1,4,1,23,0
32,1,1,1,23,0
33,0,3,1,23,0
34,2,1,0,23,0
35,1,3,1,23,0
36,2,1,0,23,0
37,0,2,1,23,0
38,1,1,1,23,0
39,1,4,1,23,0
40,2,3,0,23,0
41,1,1,1,23,0
42,2,1,0,23,0
43,1,3,0,23,0
44,1,2,1,23,0
45,2,3,0,23,0
1,2,2,0,24,0
2,1,3,0,24,0
3,1,1,1,24,0
4,2,4,0,24,0
5,2,3,0,24,0
6,2,3,0,24,0
7,0,1,1,24,0
8,0,3,0,24,0
9,2,4,0,24,0
10,2,2,0,24,0
11,0,4,1,24,0
12,0,3,1,24,0
13,0,4,1,24,0
14,0,4,1,24,0
15,0,1,1,24,0
16,2,3,0,24,0
17,0,1,1,24,0
18,0,3,1,24,0
19,1,4,0,24,0
20,2,3,0,24,0
21,2,3,0,24,0
22,1,4,1,24,0
23,1,2,1,24,0
24,0,1,0,24,0
25,1,4,0,24,0
26,0,1,1,24,0
27,0,2,1,24,0
28,1,4,0,24,0
29,2,4,0,24,0
30,2,2,0,24,0
31,1,1,0,24,0
32,1,2,1,24,0
33,1,2,1,24,0
34,1,2,1,24,0
35,0,1,0,24,0
36,0,2,1,24,0
37,2,2,0,24,0
38,0,4,1,24,0
39,1,3,1,24,0
40,1,4,1,24,0
41,2,1,0,24,0
42,2,2,0,24,0
43,1,1,0,24,0
44,1,4,1,24,0
45,2,3,0,24,0
1,1,3,0,25,0
2,0,2,1,25,0
3,2,1,0,25,0
4,0,4,1,25,0
5,2,4,0,25,0
6,0,4,0,25,0
7,0,2,1,25,0
8,1,4,0,25,0
9,0,2,1,25,0
10,1,2,0,25,0
11,2,4,0,25,0
12,1,1,0,25,0
13,0,1,0,25,0
14,1,4,1,25,0
15,2,2,0,25,0
16,2,3,0,25,0
17,0,4,1,25,0
18,2,2,0,25,0
19,0,4,1,25,0
20,2,2,1,25,0
21,2,3,0,25,0
22,1,4,0,25,0
23,1,2,0,25,0
24,1,2,0,25,0
25,1,1,1,25,0
26,0,4,1,25,0
27,1,1,1,25,0
28,0,3,1,25,0
29,2,2,0,25,0
30,0,2,1,25,0
31,2,2,0,25,0
32,2,3,0,25,0
33,0,2,1,25,0
34,2,4,0,25,0
35,1,3,1,25,0
36,1,4,0,25,0
37,0,1,1,25,0
38,1,3,1,25,0
39,1,3,1,25,0
40,2,4,0,25,0
41,0,3,1,25,0
42,1,3,0,25,0
43,2,3,0,25,0
44,0,1,1,25,0
45,2,4,0,25,0
1,0,1,1,26,0
2,1,1,1,26,0
3,1,1,1,26,0
4,2,2,0,26,0
5,2,2,0,26,0
6,1,4,1,26,0
7,0,4,0,26,0
8,2,4,0,26,0
9,1,2,1,26,0
10,1,4,0,26,0
11,2,3,0,26,0
12,2,4,0,26,0
13,0,2,1,26,0
14,1,3,0,26,0
15,1,2,1,26,0
16,0,1,1,26,0
17,0,2,1,26,0
18,2,3,0,26,0
19,0,4,1,26,0
20,2,2,0,26,0
21,0,4,1,26,0
22,1,4,1,26,0
23,0,3,1,26,0
24,1,4,0,26,0
25,2,2,0,26,0
26,0,2,0,26,0
27,0,3,1,26,0
28,2,3,0,26,0
29,1,1,1,26,0
30,2,4,0,26,0
31,2,4,1,26,0
32,1,2,0,26,0
33,1,4,1,26,0
34,2,3,0,26,0
35,2,4,0,26,0
36,0,4,1,26,0
